id,category,element,specific_element,assessment,grade,repository,file,repository_created,file_added_committer_date,evidence_in_export,assessment_detail,comparison_sources,archive_file_link,catalog_number
19,Media and civic participation,Portable peacebuilding module library,"Standalone browser modules combine civilian cooperation, ecological restoration and peace education.",Precedented ingredients / application design,B,peaceweaver,README.md,2025-12-02T16:04:15Z,2025-12-04T10:28:04-07:00,Document or interface proposal; claimed capability not independently demonstrated,Assess curriculum and localized workflow originality; independent outcomes not verified.,https://www.oecd.org/en/publications/tackling-civic-participation-challenges-with-emerging-technologies_ec2ca9a2-en.html,https://github.com/therickyfoster/peaceweaver/blob/main/README.md,19
20,Media and civic participation,Wisdom-to-action archive,Turn elder interviews and lived experience into community learning and continuity practices.,Precedented ingredients / application design,B,intergenerational-wisdom-movement,README.md,2025-08-03T00:33:38Z,2025-08-02T18:33:38-06:00,Document or interface proposal; claimed capability not independently demonstrated,Intergenerational knowledge transmission has strong earlier institutional precedents.,https://www.unesco.org/en/links/transmission,https://github.com/therickyfoster/intergenerational-wisdom-movement/blob/main/README.md,20
21,Media and civic participation,Local broadcasting workspace,"Browser capture, broadcasting controls, analytics and engagement features in a portable workspace.",Precedented ingredients / application design,B,stream_sanctuary,docs/README.md,2025-11-27T00:14:49Z,2025-11-27T04:14:46-07:00,Document or interface proposal; claimed capability not independently demonstrated,Application integration; offline controls do not make remote broadcasting possible without a network.,,https://github.com/therickyfoster/stream_sanctuary/blob/main/docs/README.md,21
22,Media and civic participation,Reusable stewardship story engine,Branching stories and reusable interactive modules with local progress and mythic presentation.,Precedented ingredients / application design,B,storm_story_framework,README.md,2025-11-27T13:14:24Z,2025-11-27T06:15:26-07:00,Document or interface proposal; claimed capability not independently demonstrated,Product/curriculum design candidate; no dedicated historical storytelling-engine search completed.,,https://github.com/therickyfoster/storm_story_framework/blob/main/README.md,22
23,Media and civic participation,Offline Arabic story personalization,Arabic RTL narrative interface with user-controlled character-name personalization and local use.,Precedented ingredients / application design,B,aladdin,index.html,2025-12-23T01:26:39Z,2025-12-22T18:48:22-07:00,Document or interface proposal; claimed capability not independently demonstrated,Localization and packaging candidate; no global priority established.,,https://github.com/therickyfoster/aladdin/blob/main/index.html,23
24,Media and civic participation,Offline text obfuscation interface,Local text transformation/anonymization with model references beside a standalone HTML interface.,Too thin or unresolved,C,VeilText,index.html,2025-08-16T10:42:32Z,2025-08-16T03:45:14-07:00,Document or interface proposal; claimed capability not independently demonstrated,Need working model integration and privacy evaluation before treating this as a technical advance.,,https://github.com/therickyfoster/VeilText/blob/main/index.html,24
25,Governance and settlement,Capacity-gated restoration settlement,"Combine voluntary settlement, restoration training/jobs, housing buffers, wage parity and intake throttles.",Narrow combination to investigate,A,restoration_visas,v1/alignment/index.html,2026-01-28T09:35:03Z,2026-01-28T05:05:38-05:00,Document or interface proposal; claimed capability not independently demonstrated,The explicit capacity and rights constraints are the narrower candidate; refugee restoration employment predates it.,https://journals.library.columbia.edu/index.php/consilience/article/download/3882/1663/6657; https://prospectslearnings.ilo.org/interventions/employment-intensive-investment-programmes-eiip/local-applications,https://github.com/therickyfoster/restoration_visas/blob/main/v1/alignment/index.html,25
26,Governance and settlement,Integration through biosphere participation,Community restoration earns recognition and participation benefits while building newcomer connections.,Precedented ingredients / application design,B,newcomer_biosphere_initiative,index.html,2025-12-27T23:37:25Z,2025-12-27T16:38:47-07:00,Document or interface proposal; claimed capability not independently demonstrated,Program design with close earlier conservation-employment models.,https://journals.library.columbia.edu/index.php/consilience/article/download/3882/1663/6657; https://prospectslearnings.ilo.org/interventions/employment-intensive-investment-programmes-eiip/local-applications,https://github.com/therickyfoster/newcomer_biosphere_initiative/blob/main/index.html,26
27,Governance and settlement,Orchards as economic-exit infrastructure,"Channel voluntary economic/trade unwinding into nurseries, food corridors, perennial assets and yield sharing.",Narrow combination to investigate,A,our_debt_deep_dive,regen/index.html,2026-01-25T16:08:30Z,2026-01-25T13:48:37-05:00,Document or interface proposal; claimed capability not independently demonstrated,The exit-transition arrangement is narrower than debt-for-nature; financing and implementation remain unverified.,https://wfpc.sanford.duke.edu/podcasts/revamping-debt-for-nature-swaps-could-support-resilient-food-systems/,https://github.com/therickyfoster/our_debt_deep_dive/blob/main/regen/index.html,27
28,Governance and settlement,Settlement-to-food-forest planning,"Pair voluntary urban-to-rural relocation with land matching, agroforestry and impact estimation.",Precedented ingredients / application design,B,urban_dispersion_edible_reforestation,v1/index.html,2026-02-05T19:20:43Z,2026-02-05T14:21:20-05:00,Document or interface proposal; claimed capability not independently demonstrated,"A settlement/application combination, not a new agroforestry principle.",https://journals.library.columbia.edu/index.php/consilience/article/download/3882/1663/6657; https://wfpc.sanford.duke.edu/podcasts/revamping-debt-for-nature-swaps-could-support-resilient-food-systems/,https://github.com/therickyfoster/urban_dispersion_edible_reforestation/blob/main/v1/index.html,28
29,Governance and settlement,Oversight through institutional drift,"Use variance, delay, concentration and outcome drift to trigger review and sunset decisions.",Narrow combination to investigate,A,institutional_integrity_acceleration,observatory/index.html,2026-02-02T14:55:40Z,2026-02-02T10:34:43-05:00,Document or interface proposal; claimed capability not independently demonstrated,The indicator definitions and action thresholds are the testable candidate; displayed scores are not verified live measurements.,https://www.oecd.org/en/publications/2025/06/governing-with-artificial-intelligence_398fa287/full-report/ai-in-fighting-corruption-and-promoting-public-integrity_60f5c50a.html,https://github.com/therickyfoster/institutional_integrity_acceleration/blob/main/observatory/index.html,29
30,Governance and settlement,Transparent bill-risk score,"Expose weighted transparency, speed, scope, reversibility, consultation and rights-related criteria.",Precedented ingredients / application design,B,canadian_civil_oversight,index.html,2026-02-04T15:33:36Z,2026-02-04T10:33:51-05:00,Document or interface proposal; claimed capability not independently demonstrated,A scoring rubric and explanatory interface; weights require validation.,https://www.oecd.org/en/publications/2025/06/governing-with-artificial-intelligence_398fa287/full-report/ai-in-fighting-corruption-and-promoting-public-integrity_60f5c50a.html,https://github.com/therickyfoster/canadian_civil_oversight/blob/main/index.html,30
31,Governance and settlement,Unified vulnerability atlas,"Combine planetary boundaries, SDGs and interacting infrastructure/social/ecological risks in a scenario interface.",Precedented ingredients / application design,B,global_vulnerability_atlas,index.html,2025-12-06T18:00:07Z,2025-12-06T11:00:18-07:00,Document or interface proposal; claimed capability not independently demonstrated,Dashboard synthesis; sample data do not demonstrate predictive skill.,https://www.weforum.org/publications/global-risks-report-2023/digest/,https://github.com/therickyfoster/global_vulnerability_atlas/blob/main/index.html,31
32,Governance and settlement,Coupled regional resilience planning,"Model heat, grid, water, housing, health and other systems as linked policy problems.",Precedented ingredients / application design,B,texas_systems_resilience_framework,index.html,2025-12-26T15:19:06Z,2025-12-26T08:19:30-07:00,Document or interface proposal; claimed capability not independently demonstrated,Regional application of systems-risk analysis; no unique validated model established.,https://www.weforum.org/publications/global-risks-report-2023/digest/,https://github.com/therickyfoster/texas_systems_resilience_framework/blob/main/index.html,32
33,Governance and settlement,Portable civic restoration toolkit,"Interconnected offline tools for systems thinking, ecological monitoring and civic action.",Precedented ingredients / application design,B,biospheric_civic_empowerment_platform,README.md,2026-01-27T17:36:13Z,2026-01-27T12:51:14-05:00,Document or interface proposal; claimed capability not independently demonstrated,"Integrated toolkit architecture, not evidence of institutional adoption or a new governance field.",https://decidim.org/blog/2017-10-09-estreno-web/; https://www.weforum.org/publications/global-risks-report-2023/digest/,https://github.com/therickyfoster/biospheric_civic_empowerment_platform/blob/main/README.md,33
34,AI and continuity,Restoration mission orchestration,"Combine AI agents, task coordination, DAO decisions and declared harm constraints for ecological missions.",Precedented ingredients / application design,B,SymbioteOne-Orchestrator,README.md,2025-06-29T13:53:21Z,2025-06-29T12:51:48-04:00,Document or interface proposal; claimed capability not independently demonstrated,Multi-agent orchestration and human-AI collaboration have clear predecessors.,https://www.microsoft.com/en-us/research/articles/magentic-one-a-generalist-multi-agent-system-for-solving-complex-tasks/; https://arxiv.org/html/2403.10433v1,https://github.com/therickyfoster/SymbioteOne-Orchestrator/blob/main/README.md,34
35,AI and continuity,AI collective governance prototype,Connect collective-agent architectures with governance interfaces and prototype feature tracking.,Precedented ingredients / application design,B,ai-collective-governance-architectures,README.md,2025-08-16T05:58:20Z,2025-08-15T22:57:27-07:00,Source code present (not tested),Code/prototype integration candidate; not proof of governmental operation.,https://arxiv.org/html/2403.10433v1; https://www.microsoft.com/en-us/research/articles/magentic-one-a-generalist-multi-agent-system-for-solving-complex-tasks/,https://github.com/therickyfoster/ai-collective-governance-architectures/blob/main/README.md,35
36,AI and continuity,Panel-gated ecological simulation,Require panel review before simulated plans become field-deployment proposals.,Too thin or unresolved,C,cascadulator,README.md,2025-08-11T20:27:10Z,2025-08-11T13:27:11-07:00,Document or interface proposal; claimed capability not independently demonstrated,"Potential governance rule, but README supplies only one sentence of mechanism.",https://www.weforum.org/publications/global-risks-report-2023/digest/,https://github.com/therickyfoster/cascadulator/blob/main/README.md,36
37,AI and continuity,Low-memory distributed reconstruction,Combine chunked/distributed files with AI-assisted reconstruction on limited hardware.,Too thin or unresolved,C,planetary-restoration-archive,innovations/decentralized-file-reconstructor/system_summary.md,2025-07-05T23:29:31Z,2025-07-14T12:45:17-06:00,Document or interface proposal; claimed capability not independently demonstrated,Exact recovery must be separated from generated guesses; no lossless reconstruction advance established.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/decentralized-file-reconstructor/system_summary.md,37
38,AI and continuity,Archive-to-restoration continuity node,"Combine seed/genetic preservation, sensors, fungal restoration and drone-assisted redeployment.",Narrow combination to investigate,A,EdenCore,README.md,2025-06-28T02:38:12Z,2025-06-28T01:32:54-04:00,Document or interface proposal; claimed capability not independently demonstrated,The preservation-to-recovery workflow is the candidate; core deployment code includes placeholders.,https://nationalzoo.si.edu/news/smithsonian-scientists-devise-method-secure-earths-biodiversity-moon,https://github.com/therickyfoster/EdenCore/blob/main/README.md,38
39,AI and continuity,Distributed biosample vaults,"Underground seed/spore/DNA stores with thermal control, repository synchronization and remote recovery.",Precedented ingredients / application design,B,planetary-restoration-archive,innovations/verdantvault/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T16:15:58-04:00,Document or interface proposal; claimed capability not independently demonstrated,Storage/recovery system proposal; distributed conservation archives are not newly established here.,https://nationalzoo.si.edu/news/smithsonian-scientists-devise-method-secure-earths-biodiversity-moon,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/verdantvault/system_summary.md,39
40,AI and continuity,Lunar continuity package,Combine off-world genetic preservation with broader biosphere/knowledge recovery ambitions.,Precedented ingredients / application design,B,proof,part5,2025-09-04T22:47:34Z,2025-09-04T16:20:47-07:00,Document or interface proposal; claimed capability not independently demonstrated,Smithsonian's lunar biodiversity repository proposal was public in July 2024.,https://nationalzoo.si.edu/news/smithsonian-scientists-devise-method-secure-earths-biodiversity-moon,https://github.com/therickyfoster/proof/blob/main/part5,40
41,AI and continuity,Autonomous continuity terminal,A decentralized terminal intended to preserve access and continuity under institutional or platform failure.,Too thin or unresolved,C,dact,readme.md,2025-07-29T14:51:58Z,2025-08-04T05:31:27-06:00,Document or interface proposal; claimed capability not independently demonstrated,Name/architecture-level proposal; distinct implemented recovery mechanism not established.,https://lists.w3.org/Archives/Public/public-blockchain/2016Sep/0064.html,https://github.com/therickyfoster/dact/blob/main/readme.md,41
42,AI and continuity,Emotion-responsive driving interface,Adapt vehicle behavior using inferred driver emotional state.,Too thin or unresolved,C,VehicleEmotionTether,docs/overview.md,2025-06-29T08:06:18Z,2025-06-29T20:11:56-04:00,Document or interface proposal; claimed capability not independently demonstrated,The inspected emotion function is a simple threshold mock; no validated sensing/control advance established.,,https://github.com/therickyfoster/VehicleEmotionTether/blob/main/docs/overview.md,42
43,Ecological deployment,Precision bicycle seeder package,"Drum hoppers, wheel-synchronized metering, soil opener, dynamo power and optional GPS/Bluetooth.",Narrow combination to investigate,A,goseed-bike,README.md,2025-08-10T00:54:44Z,2025-08-09T18:54:45-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Bicycle sowing predates it; investigate only the detailed mechanism and integration. Performance figures are targets, not verified trials.",https://www.instructables.com/Leave-a-Trail-of-flowers-as-you-cycle-through-the-/; https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/1069981/1/ID440762015LVmaquinasp83.pdf,https://github.com/therickyfoster/goseed-bike/blob/main/README.md,43
44,Ecological deployment,Impact-triggered nutrient-mist seed pod,"Biodegradable aerial pod combines seeds, microbial inoculants and a proposed local nutrient mist release.",Narrow combination to investigate,A,myco-mist-reforestation-pods,README.md,2025-07-20T20:55:08Z,2025-07-20T14:55:08-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Hydrogel aerial seed encapsulation predates it; the mist actuator, energy source and ecological benefit need proof.",https://doi.org/10.25439/rmt.26981773,https://github.com/therickyfoster/myco-mist-reforestation-pods/blob/main/README.md,44
45,Ecological deployment,Waste-heat fungal cultivation pod,"Igloo-inspired insulation, passive airflow and compost/industrial waste heat maintain a fungal growing environment.",Narrow combination to investigate,A,mycoigloo,README.md,2025-07-17T00:39:39Z,2025-07-16T18:39:39-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Cultivation integration is the candidate. MyGlu shelter was already public June 6, 2025 and serves a different function.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/; https://www.frankfurt-university.de/de/news/n-pressemitteilungen/ausstellung-bauen-mit-myzel-an-der-frankfurt-uas/,https://github.com/therickyfoster/mycoigloo/blob/main/README.md,45
46,Ecological deployment,School-route edible restoration,"Turn recurring walks into mapped seed paths, mycelial planting activities and locally stored progress.",Narrow combination to investigate,A,seed_paths,README.md,2025-12-01T04:15:02Z,2025-11-30T21:20:03-07:00,Document or interface proposal; claimed capability not independently demonstrated,The school-route workflow is the candidate; seed dispersal and experiential environmental learning are not new.,https://www.instructables.com/Leave-a-Trail-of-flowers-as-you-cycle-through-the-/; https://www.unesco.org/en/links/transmission,https://github.com/therickyfoster/seed_paths/blob/main/README.md,46
47,Ecological deployment,Delayed-release cryogenic seed capsules,"Preserved seeds/spores in aerial gel capsules proposed to activate with rainfall, temperature and soil conditions.",Too thin or unresolved,C,planetary-restoration-archive,innovations/fire-recovery-resilience/cryoseedhalo/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,A mechanism proposal; preservation viability and controlled activation not validated.,https://doi.org/10.25439/rmt.26981773,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/fire-recovery-resilience/cryoseedhalo/system_summary.md,47
48,Ecological deployment,Multi-payload ecological drum dispenser,"Rotating drone cartridge dispenses seed, spore or fire-suppressing gel payloads.",Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/bioburstdrum/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Payload integration candidate; claimed rates are not measured evidence.,https://doi.org/10.25439/rmt.26981773; https://www.instructables.com/Leave-a-Trail-of-flowers-as-you-cycle-through-the-/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/bioburstdrum/system_summary.md,48
49,Ecological deployment,Artificial root-resource lattice,Subsurface lattice intended to redistribute moisture and nutrients among degraded root zones.,Too thin or unresolved,C,planetary-restoration-archive,innovations/intergenerational/rootweaver/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,"Need transport physics, compatibility and field comparisons; broad biomimicry alone is not novelty.",,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/intergenerational/rootweaver/system_summary.md,49
50,Ecological deployment,Plant-responsive nutrient hydrogel,Root implant senses plant/soil signals and releases nutrients or microbial agents in response.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/terrasage/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T16:15:58-04:00,Document or interface proposal; claimed capability not independently demonstrated,Potential closed-loop architecture; plant sensing predates it and the transducer/release mechanism remains unvalidated.,https://www.science.org/doi/10.1126/sciadv.1501136,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/terrasage/system_summary.md,50
51,Ecological deployment,Rainfed agroforestry pods,Modular planting units combine water retention and ecological establishment for low-input restoration.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/reforestation-aggro/modular-rainfed-agroforestry-pods/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Specific construction may be distinguishable; no evidence of a new general planting principle.,https://doi.org/10.25439/rmt.26981773,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/reforestation-aggro/modular-rainfed-agroforestry-pods/readme.md,51
52,Ecological deployment,Winter-first restoration framework,"Organize dormant planting, cold stratification, snowpack and thermal niches as a coherent curriculum.",Precedented ingredients / application design,B,chionophytaics,index.html,2025-12-07T04:41:26Z,2025-12-06T23:44:05-05:00,Document or interface proposal; claimed capability not independently demonstrated,"A proposed label/framework, not evidence of a newly discovered biological process.",https://extension.umn.edu/lawns-and-landscapes-minnesota/dormant-seeding,https://github.com/therickyfoster/chionophytaics/blob/main/index.html,52
53,Ecological deployment,Monitored mutual-benefit partnerships,"Combine organism stewardship, adaptive monitoring and before/after benefit assessment.",Too thin or unresolved,C,controlled_symbiotic_domestication,index.html,2026-02-05T16:41:35Z,2026-02-05T11:41:52-05:00,Document or interface proposal; claimed capability not independently demonstrated,Proposed research framing; the page's claim of formal disciplinary recognition was not substantiated.,,https://github.com/therickyfoster/controlled_symbiotic_domestication/blob/main/index.html,53
54,Water and natural forces,Sediment Shepherd,Passive diversion and biomimetic structures intended to rebuild wetlands using river sediment.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/blueprints/01-sediment-shepherd/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Hydrological restoration concept; detailed hydraulic novelty not assessed in a dedicated search.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/blueprints/01-sediment-shepherd/readme.md,54
55,Water and natural forces,Tidal Pulse,Use tidal cycles to drive mangrove irrigation and soil revitalization.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/tidal-pulse/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Tidal ecology/treatment has antecedents; a specific passive actuator could still merit engineering comparison.,https://doi.org/10.1016/j.scitotenv.2022.155728,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/tidal-pulse/readme.md,55
