name,description,created_at,private,url,default_branch,file_count,commit_count,earliest_committer,latest_committer
SymbioteArbitrageAgent,,2025-06-29T08:03:41Z,False,https://github.com/therickyfoster/SymbioteArbitrageAgent,main,10,3,2025-06-29T04:50:59-04:00,2025-07-23T08:42:58-06:00
SymbioteCircleMap,,2025-06-29T08:04:44Z,False,https://github.com/therickyfoster/SymbioteCircleMap,main,3,3,2025-06-29T04:04:45-04:00,2025-07-23T08:43:02-06:00
TruthReport,,2025-06-29T08:05:11Z,False,https://github.com/therickyfoster/TruthReport,main,3,3,2025-06-29T04:05:11-04:00,2025-07-23T08:43:12-06:00
VehicleEmotionTether,"Transforms real-time driving behavior into emotional insight. A symbiotic system linking driver emotion with vehicle telemetry for safer, smarter, and more mindful roads. 🌱🚗🧠",2025-06-29T08:06:18Z,False,https://github.com/therickyfoster/VehicleEmotionTether,main,19,5,2025-06-29T04:06:18-04:00,2025-07-23T08:43:22-06:00
SymbioteOne-Orchestrator,The world's first symbiotic AI-human multi-agent orchestration engine.,2025-06-29T13:53:21Z,False,https://github.com/therickyfoster/SymbioteOne-Orchestrator,main,63,3,2025-06-29T12:51:48-04:00,2025-07-23T08:43:07-06:00
FractalVineRail,,2025-06-29T21:21:44Z,False,https://github.com/therickyfoster/FractalVineRail,main,3,3,2025-06-29T15:21:44-06:00,2025-07-23T08:40:26-06:00
PhaseDrive,,2025-06-29T21:22:08Z,False,https://github.com/therickyfoster/PhaseDrive,main,16,6,2025-06-29T15:22:08-06:00,2025-07-23T08:42:05-06:00
ProjectCoherence,,2025-06-29T21:22:41Z,False,https://github.com/therickyfoster/ProjectCoherence,main,3,3,2025-06-29T15:22:41-06:00,2025-07-23T08:42:15-06:00
SpiralLiftPod,,2025-06-29T21:23:03Z,False,https://github.com/therickyfoster/SpiralLiftPod,main,3,3,2025-06-29T15:23:03-06:00,2025-07-23T08:42:43-06:00
VortexPulse,,2025-06-29T21:23:22Z,False,https://github.com/therickyfoster/VortexPulse,main,3,3,2025-06-29T15:23:22-06:00,2025-07-23T08:43:26-06:00
WaveRider,,2025-06-29T21:23:39Z,False,https://github.com/therickyfoster/WaveRider,main,4,4,2025-06-29T15:23:39-06:00,2025-07-23T08:43:31-06:00
AgitationPressureDrive,,2025-06-29T22:39:42Z,False,https://github.com/therickyfoster/AgitationPressureDrive,main,50,6,2025-06-29T18:28:34-04:00,2025-07-23T08:39:13-06:00
FortMacOrchard,,2025-06-30T23:49:30Z,False,https://github.com/therickyfoster/FortMacOrchard,main,5,5,2025-06-30T17:49:30-06:00,2025-08-15T21:36:06-07:00
-Inspiration,"Galactic Golden Ripple Catalyst 🌌 A living blueprint to inspire next-gen inventors, decentralization architects, and planetary guardians. Explores biomimicry, emotional alchemy, and system design through the lens of nature, myth, and AI symbiosis. Designed to turn projects into symbols—and symbols into world-changing ripples.",2025-07-02T19:00:24Z,False,https://github.com/therickyfoster/-Inspiration,main,1,2,2025-07-02T13:00:24-06:00,2025-07-02T13:02:46-06:00
planetary-restoration-archive,,2025-07-05T23:29:31Z,False,https://github.com/therickyfoster/planetary-restoration-archive,main,724,326,2025-07-05T17:40:14-06:00,2025-10-28T18:19:31-06:00
planetary-restoration-os,"A modular, open-source operating system for planetary healing — deploy city-level biosphere recovery plans, autonomous funding DAOs, and regenerative infrastructure blueprints for global restoration.",2025-07-06T01:03:54Z,False,https://github.com/therickyfoster/planetary-restoration-os,main,3,13,2025-07-05T19:03:54-06:00,2025-07-09T13:20:16-07:00
regenerative-innovations,"Scalable, open-source technologies and blueprints for ecological regeneration, circular systems, and biosphere repair — designed for communities, DAOs, and decentralized deployment.",2025-07-09T15:17:37Z,False,https://github.com/therickyfoster/regenerative-innovations,main,351,4,2025-07-09T09:17:38-06:00,2025-07-23T08:46:10-06:00
STATE-OF-AFFAIRS-PUBLIC-NOTICE,Self generated public notice from ChatGPT.,2025-07-13T10:05:25Z,False,https://github.com/therickyfoster/STATE-OF-AFFAIRS-PUBLIC-NOTICE,main,3,5,2025-07-13T06:05:25-04:00,2025-07-23T08:42:29-06:00
Geo-Ecological-Resonant-Engineering-GERE-,"GERE™ envisions the planet as a living cybernetic system, where ecological health is intelligently synchronized to the energetic rhythms of the cosmos itself.",2025-07-13T22:36:16Z,False,https://github.com/therickyfoster/Geo-Ecological-Resonant-Engineering-GERE-,main,11,15,2025-07-13T16:36:16-06:00,2025-07-23T10:08:11-06:00
regenerative-convergence-opportunities,"MycoStack™ is a regenerative retrofit system for oil & gas infrastructure using engineered mycelium to filter emissions, degrade toxins, and restore soil. It transforms flare stacks, waste zones, and pipelines into living carbon-negative ecosystems, enabling fossil industries to become net-negative emitters.",2025-07-15T21:07:29Z,False,https://github.com/therickyfoster/regenerative-convergence-opportunities,main,3,4,2025-07-15T15:07:29-06:00,2025-07-23T08:46:03-06:00
start-here,"If you're new, consider the contents in this folder the idea vault for what we should be what we should be doing now.",2025-07-15T23:36:48Z,False,https://github.com/therickyfoster/start-here,main,3,3,2025-07-15T17:36:48-06:00,2025-07-23T08:46:30-06:00
mycoigloo,,2025-07-17T00:39:39Z,False,https://github.com/therickyfoster/mycoigloo,main,3,5,2025-07-16T18:39:39-06:00,2025-07-23T08:45:15-06:00
unified-ontology,A fractal hypothesis of the structure of life.,2025-07-17T12:20:45Z,False,https://github.com/therickyfoster/unified-ontology,main,3,3,2025-07-17T06:20:45-06:00,2025-07-23T08:47:12-06:00
planetary-repair-agent-swarm,,2025-07-20T18:31:12Z,False,https://github.com/therickyfoster/planetary-repair-agent-swarm,main,4,5,2025-07-20T12:31:12-06:00,2025-07-23T08:45:47-06:00
myco-atmospheric-network,,2025-07-20T20:41:47Z,False,https://github.com/therickyfoster/myco-atmospheric-network,main,4,5,2025-07-20T14:41:47-06:00,2025-07-23T08:44:59-06:00
myco-filter-tiles,,2025-07-20T20:54:04Z,False,https://github.com/therickyfoster/myco-filter-tiles,main,3,4,2025-07-20T14:54:05-06:00,2025-07-23T08:45:04-06:00
myco-mist-reforestation-pods,,2025-07-20T20:55:08Z,False,https://github.com/therickyfoster/myco-mist-reforestation-pods,main,4,5,2025-07-20T14:55:08-06:00,2025-08-10T07:58:37-06:00
passive-wind-to-water-harvester,,2025-07-20T20:56:02Z,False,https://github.com/therickyfoster/passive-wind-to-water-harvester,main,3,4,2025-07-20T14:56:02-06:00,2025-07-23T08:45:37-06:00
bio-glow-tiles,,2025-07-20T20:58:58Z,False,https://github.com/therickyfoster/bio-glow-tiles,main,3,4,2025-07-20T14:58:58-06:00,2025-07-23T08:43:59-06:00
eco-cool-shingles,,2025-07-20T20:59:52Z,False,https://github.com/therickyfoster/eco-cool-shingles,main,3,4,2025-07-20T14:59:52-06:00,2025-07-23T08:44:24-06:00
eco-breath-purifier,,2025-07-20T21:00:37Z,False,https://github.com/therickyfoster/eco-breath-purifier,main,3,4,2025-07-20T15:00:38-06:00,2025-07-23T08:44:19-06:00
thermaleaf-panels,,2025-07-21T02:15:55Z,False,https://github.com/therickyfoster/thermaleaf-panels,main,3,4,2025-07-20T20:15:56-06:00,2025-07-23T08:47:07-06:00
hydromoss-mat,,2025-07-21T02:19:37Z,False,https://github.com/therickyfoster/hydromoss-mat,main,3,4,2025-07-20T20:19:38-06:00,2025-07-23T08:44:54-06:00
solarweave-canopy,,2025-07-21T02:21:20Z,False,https://github.com/therickyfoster/solarweave-canopy,main,3,4,2025-07-20T20:21:21-06:00,2025-07-23T08:46:25-06:00
aeroglass-window-film,,2025-07-21T02:22:59Z,False,https://github.com/therickyfoster/aeroglass-window-film,main,4,5,2025-07-20T20:22:59-06:00,2025-08-16T01:51:32-07:00
puremist-bottle,,2025-07-21T02:23:52Z,False,https://github.com/therickyfoster/puremist-bottle,main,3,4,2025-07-20T20:23:53-06:00,2025-07-23T08:45:58-06:00
biocool-pillow,,2025-07-21T02:25:12Z,False,https://github.com/therickyfoster/biocool-pillow,main,3,4,2025-07-20T20:25:13-06:00,2025-07-23T08:44:04-06:00
glowroot-planter,,2025-07-21T02:26:23Z,False,https://github.com/therickyfoster/glowroot-planter,main,3,4,2025-07-20T20:26:24-06:00,2025-07-23T08:44:49-06:00
freshfloor-tiles,,2025-07-21T02:27:22Z,False,https://github.com/therickyfoster/freshfloor-tiles,main,3,4,2025-07-20T20:27:23-06:00,2025-07-23T08:44:39-06:00
skyharvest-lantern,,2025-07-21T02:30:50Z,False,https://github.com/therickyfoster/skyharvest-lantern,main,3,5,2025-07-20T20:30:51-06:00,2025-08-10T08:33:32-06:00
aquabloom-bottle-garden,,2025-07-21T02:31:53Z,False,https://github.com/therickyfoster/aquabloom-bottle-garden,main,3,4,2025-07-20T20:31:53-06:00,2025-07-23T08:43:50-06:00
ecowave-shower-head,,2025-07-21T02:35:08Z,False,https://github.com/therickyfoster/ecowave-shower-head,main,3,4,2025-07-20T20:35:08-06:00,2025-07-23T08:44:29-06:00
stratoweave-towers,,2025-07-21T02:35:56Z,False,https://github.com/therickyfoster/stratoweave-towers,main,3,4,2025-07-20T20:35:56-06:00,2025-07-23T08:46:41-06:00
lumatide-ocean-rings,,2025-07-21T02:37:40Z,False,https://github.com/therickyfoster/lumatide-ocean-rings,main,2,5,2025-07-20T20:37:40-06:00,2025-07-23T09:49:51-06:00
aurora-spire-network,,2025-07-21T02:38:44Z,False,https://github.com/therickyfoster/aurora-spire-network,main,3,4,2025-07-20T20:38:44-06:00,2025-07-23T08:43:54-06:00
eclipsera-veil,Eclipsera Veil: Space-based solar management research exploring orbital photonic arrays for climate intervention and energy collection. Investigating adaptive materials and distributed systems that could selectively modulate Earth's solar input while harvesting power for terrestrial use.,2025-07-21T02:39:59Z,False,https://github.com/therickyfoster/eclipsera-veil,main,2,4,2025-07-20T20:39:59-06:00,2025-07-23T05:47:29-06:00
stellar-loom-gateways,,2025-07-21T02:40:49Z,False,https://github.com/therickyfoster/stellar-loom-gateways,main,3,4,2025-07-20T20:40:49-06:00,2025-07-23T08:46:36-06:00
primordis-architect,,2025-07-21T02:42:55Z,False,https://github.com/therickyfoster/primordis-architect,main,3,4,2025-07-20T20:42:56-06:00,2025-07-23T08:45:52-06:00
origin-singularity-forge,,2025-07-21T02:43:43Z,False,https://github.com/therickyfoster/origin-singularity-forge,main,3,4,2025-07-20T20:43:43-06:00,2025-07-23T08:45:32-06:00
nullis-prism-nexus,,2025-07-21T02:45:25Z,False,https://github.com/therickyfoster/nullis-prism-nexus,main,3,4,2025-07-20T20:45:26-06:00,2025-07-23T08:45:20-06:00
romarine-concrete,"Romarine Concrete™ – A self-healing, carbon-negative concrete designed for 1,000+ year saltwater infrastructure, producing freshwater and minerals while stabilizing coastlines.",2025-07-21T20:54:59Z,False,https://github.com/therickyfoster/romarine-concrete,main,4,6,2025-07-21T14:54:59-06:00,2025-07-23T08:46:16-06:00
off-grid-power,,2025-07-22T00:54:14Z,False,https://github.com/therickyfoster/off-grid-power,main,3,4,2025-07-21T18:54:14-06:00,2025-07-23T08:45:25-06:00
global-notarization,"Centralized GitHub Action for automatically notarizing all my repositories — generates cryptographic hashes, timestamps them on the Bitcoin blockchain, uploads snapshots to IPFS, and updates proof logs on every push.",2025-07-23T11:31:40Z,False,https://github.com/therickyfoster/global-notarization,main,4,23,2025-07-23T05:31:40-06:00,2025-10-26T08:46:10-06:00
autonomous-ai-planetary-repair-dao,Autonomous AI Planetary Repair DAO,2025-07-25T17:52:50Z,False,https://github.com/therickyfoster/autonomous-ai-planetary-repair-dao,main,6,15,2025-07-25T11:52:50-06:00,2025-12-28T10:46:15-07:00
TheRickyFoster.github.io,,2025-07-28T17:10:24Z,False,https://github.com/therickyfoster/TheRickyFoster.github.io,main,3,4,2025-07-28T11:10:24-06:00,2025-09-10T01:23:53-06:00
conditional-immutable-storage,"Conditional Immutable Storage (CIS): A tamper-resistant system storing cryptographically verifiable records on-chain or distributed nodes, with retrieval gated by triggers (votes, compliance, time locks). Ensures integrity, selective disclosure, and adaptability without losing trust.",2025-07-29T03:20:07Z,False,https://github.com/therickyfoster/conditional-immutable-storage,main,2,2,2025-07-28T21:20:07-06:00,2025-09-10T01:25:49-06:00
dact,,2025-07-29T14:51:58Z,False,https://github.com/therickyfoster/dact,main,2,9,2025-07-29T08:51:58-06:00,2025-09-10T01:25:43-06:00
dact-impact-proposal,Decentralized Autonomous Continuity Terminal: Public Impact Proposal,2025-07-29T14:57:52Z,False,https://github.com/therickyfoster/dact-impact-proposal,main,2,5,2025-07-29T08:57:53-06:00,2025-09-10T01:25:46-06:00
intergenerational-wisdom-movement,"A living archive for capturing intergenerational wisdom to prevent future collapse. Record conversations with elders, extract lived protocols, and seed decentralized resilience—one story at a time. Part of the Planetary Restoration Archive.",2025-08-03T00:33:38Z,False,https://github.com/therickyfoster/intergenerational-wisdom-movement,main,2,4,2025-08-02T18:33:38-06:00,2025-09-10T01:25:39-06:00
licensing,"Frameworks, clauses, and custom licenses for regenerative, decentralized, and project-specific use across the Planetary Restoration Archive.",2025-08-03T01:24:07Z,False,https://github.com/therickyfoster/licensing,main,3,8,2025-08-02T19:24:07-06:00,2025-09-10T01:25:22-06:00
fort-mcmurray-wildcall,"A real-world regenerative mission—combining off-grid resilience, ecological restoration, and AI-assisted foresight to rewild the boreal frontier of Fort McMurray, Alberta.",2025-08-03T23:08:06Z,False,https://github.com/therickyfoster/fort-mcmurray-wildcall,main,3,3,2025-08-03T17:08:06-06:00,2025-09-10T01:24:56-06:00
education,"A next-generation, open framework for education built to endure, adapt, and scale globally. Designed for resilience, accessibility, and long-term continuity, it integrates modern pedagogy, decentralized infrastructure, and regenerative values to prepare learners for a thriving, regenerative future.",2025-08-08T16:47:54Z,False,https://github.com/therickyfoster/education,main,98,57,2025-08-08T09:47:55-07:00,2026-01-02T09:30:11-07:00
goseed-bike,To be continued...,2025-08-10T00:54:44Z,False,https://github.com/therickyfoster/goseed-bike,main,2,3,2025-08-09T18:54:45-06:00,2025-09-10T01:25:36-06:00
proofkit,TBA,2025-08-10T08:15:22Z,False,https://github.com/therickyfoster/proofkit,main,4,4,2025-08-10T02:15:22-06:00,2025-09-10T01:25:33-06:00
cascadulator,"Panel-gated, zero-harm simulation orchestrator for regenerative field deployments.",2025-08-11T20:27:10Z,False,https://github.com/therickyfoster/cascadulator,main,2,2,2025-08-11T13:27:11-07:00,2025-09-10T01:25:30-06:00
safe_archiving_method,"Updated frequently, private(ish).",2025-08-12T02:54:41Z,False,https://github.com/therickyfoster/safe_archiving_method,main,2,3,2025-08-11T20:54:41-06:00,2025-09-10T01:25:27-06:00
personafication,"**Personafication™** is a proprietary term, concept, and framework to describe the process of **designing, constructing, and instantiating lifelike digital personas** — including visual avatars, voice models, behavioral patterns, and emotional inflection mapping — for interoperable use across virtual and physical environments.",2025-08-12T09:29:33Z,False,https://github.com/therickyfoster/personafication,main,2,3,2025-08-12T02:29:33-07:00,2025-09-10T01:25:25-06:00
donation-worthy-devs,A list of developers who have made substantial impact via open-source contributions. This list was formed from my observations throughout my tech career.,2025-08-14T06:31:03Z,False,https://github.com/therickyfoster/donation-worthy-devs,main,2,4,2025-08-13T23:31:03-07:00,2025-09-10T01:25:19-06:00
regenerative_education_research_paper1,First regenerative-education research findings.,2025-08-14T08:35:54Z,False,https://github.com/therickyfoster/regenerative_education_research_paper1,main,2,3,2025-08-14T01:35:55-07:00,2025-09-10T01:25:16-06:00
models,"A collection of pre-trained, state-of-the-art models in the ONNX format ",2025-08-14T10:38:42Z,False,https://github.com/therickyfoster/models,main,4894,241,2017-10-05T16:53:59-07:00,2025-09-10T07:28:10Z
funding-influx-pipeline,"A governance pipeline for Gnosis Safe that enforces daily personal spending caps, least-privilege automation, and guarded on-chain changes. Policy files in YAML are compiled into auditable Safe transaction bundles, with major changes gated by Snapshot + Reality.eth votes and timelocks to prevent impulse spending or corruption.",2025-08-14T11:25:33Z,False,https://github.com/therickyfoster/funding-influx-pipeline,main,43,3,2025-08-14T01:24:11-07:00,2025-09-10T01:25:13-06:00
OpenStay,Decentralized B&B,2025-08-14T20:32:10Z,False,https://github.com/therickyfoster/OpenStay,main,5,6,2025-08-14T13:31:56-07:00,2025-09-10T01:25:10-06:00
MASTER_PROMPTS,The lost codex of master prompts found in the oldest known (and buried) Mayan temple.,2025-08-15T04:20:01Z,False,https://github.com/therickyfoster/MASTER_PROMPTS,main,4,6,2025-08-14T21:20:02-07:00,2025-09-10T01:24:53-06:00
ADMIN,"A curated repository of the administrator’s personal toolkit — featuring scripts, utilities, configs, and rare resources. Combines practical automation, troubleshooting aids, and reference materials from years of real-world use. Perfect for streamlining workflows and tackling complex problems.",2025-08-15T05:58:22Z,False,https://github.com/therickyfoster/ADMIN,main,5,5,2025-08-14T22:58:23-07:00,2025-08-15T14:17:45-07:00
Donor_Intent_Router_OG,"A collection of future-proof smart-contracts designed collaboratively between Navi, Claude and I.",2025-08-15T20:43:53Z,False,https://github.com/therickyfoster/Donor_Intent_Router_OG,main,3,4,2025-08-15T13:43:53-07:00,2025-09-10T01:25:03-06:00
streamtools,A collection of streaming notes and software from the Devs.,2025-08-15T22:31:40Z,False,https://github.com/therickyfoster/streamtools,main,2,3,2025-08-15T15:31:40-07:00,2025-09-10T01:24:59-06:00
Donor_Intent_Router,"Non-custodial router that enforces EIP-712 donor intent into deterministic splits, streams, and cross-chain payouts — Safe-first, escrow-on-failure.",2025-08-15T22:45:13Z,False,https://github.com/therickyfoster/Donor_Intent_Router,main,13,9,2025-08-15T15:43:57-07:00,2025-09-10T01:24:50-06:00
next-gen-browser-tools,Future-proof tools for this era and the next.,2025-08-16T05:23:10Z,False,https://github.com/therickyfoster/next-gen-browser-tools,main,22,9,2025-08-15T22:23:02-07:00,2025-09-10T01:24:39-06:00
ai-collective-governance-architectures,A collection of architectures for governments.,2025-08-16T05:58:20Z,False,https://github.com/therickyfoster/ai-collective-governance-architectures,main,34,6,2025-08-15T22:57:27-07:00,2025-09-10T01:24:42-06:00
distributed-genius-starter-kit,"Starter kit for distributed genius: a meta-accelerator repo with scaffolds, AI modules, gamified rituals, and regenerative blueprints. Designed to seed enduring intelligence systems—educational, ecological, civic, and mythic—that replicate, adapt, and outlive their origin.",2025-08-16T08:38:05Z,False,https://github.com/therickyfoster/distributed-genius-starter-kit,main,2,2,2025-08-16T01:38:06-07:00,2025-09-10T01:24:32-06:00
VeilText,A text obfuscation and anonymization tool that runs entirely offline via HTML and references models stored alongside as HTML.,2025-08-16T10:42:32Z,False,https://github.com/therickyfoster/VeilText,main,4,5,2025-08-16T03:42:32-07:00,2025-09-10T01:24:26-06:00
GAIA,"Global Autonomous Intelligence for Atmosphere: A planetary AI collective orchestrating decentralized swarms to clean air, balance ecosystems, and safeguard life, embodying the mythic role of Gaia as Earth’s guardian.",2025-08-17T18:07:22Z,False,https://github.com/therickyfoster/GAIA,main,2,2,2025-08-17T11:07:22-07:00,2025-09-10T01:24:17-06:00
